ID,Author,Group,Year,Focal_insect,Focal_insect_resolved_name,F_Guild,Focal_insect_diet_breadth,Competing_insect,Competing_insect_resolved_name,C_Guild,Competing_insect_diet_breadth,Host_plant,Phylogenetic_distance_between_focal_insect_and_competing_insect,Spatial_separation,temporal_separation,Fitness_component,Control_mean,Control_standard_error,Control_standard_deviation,Control_sample_size,Experimental_mean,Experimental_standard_error,Experimental_standard_deviation,Experimental_sample_size,yi_g,vi
757,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Survival,1.9,NA,NA,5,1.65,NA,NA,5,-0.132507171,0.644064097
758,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Survival,1.585,NA,NA,5,1.12,NA,NA,5,-0.287826293,0.761920917
759,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Survival,2.87,NA,NA,5,2.615,NA,NA,5,-0.124924289,0.594898811
760,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Survival,2.385,NA,NA,5,2.365,NA,NA,5,-0.009721325,0.589177598
761,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Survival,1.645,NA,NA,5,0.965,NA,NA,5,-0.435104299,0.804432042
762,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,0,no separation,no separation,Body_size,32.29,1.71,3.823676242,5,35.48,1.58,3.532987404,5,-0.782250862,0.430595821
763,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,0,no separation,no separation,Body_size,32.29,1.71,3.823676242,5,32.62,2.85,6.372793736,5,-0.056685851,0.400160664
764,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,0,no separation,no separation,Body_size,34.15,2.32,5.187677708,5,32.64,1.21,2.705642253,5,0.329471371,0.405427569
765,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,0,no separation,no separation,Body_size,34.15,2.32,5.187677708,5,35,1.21,2.705642253,5,-0.185464017,0.401719845
766,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,32.29,1.71,3.823676242,5,29.04,4.71,10.53188017,5,0.370297358,0.406856007
767,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,32.29,1.71,3.823676242,5,32.64,1.21,2.705642253,5,-0.095389348,0.400454956
768,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,34.15,2.32,5.187677708,5,40.49,2.27,5.075874309,5,-1.115169406,0.46218014
769,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,34.15,2.32,5.187677708,5,36.49,1.69,3.778954882,5,-0.465443346,0.410831875
770,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,33.62,3.6,8.049844719,5,34.21,1.89,4.226168478,5,-0.082844378,0.40034316
771,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,29.04,4.71,10.53188017,5,29.04,4.71,10.53188017,5,0,0.4
772,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,32.64,1.21,2.705642253,5,32.64,1.21,2.705642253,5,0,0.4
